"08507: Air transport. Passengers, by airport, type of traffic, domestic/international flights, passenger group, contents and month"

"airport";"type of traffic";"domestic/international flights";"passenger group";"Passengers 2009M01";"Passengers 2009M02";"Passengers 2009M03";"Passengers 2009M04";"Passengers 2009M05";"Passengers 2009M06";"Passengers 2009M07";"Passengers 2009M08";"Passengers 2009M09";"Passengers 2009M10";"Passengers 2009M11";"Passengers 2009M12";"Passengers 2010M01";"Passengers 2010M02";"Passengers 2010M03";"Passengers 2010M04";"Passengers 2010M05";"Passengers 2010M06";"Passengers 2010M07";"Passengers 2010M08";"Passengers 2010M09";"Passengers 2010M10";"Passengers 2010M11";"Passengers 2010M12";"Passengers 2011M01";"Passengers 2011M02";"Passengers 2011M03";"Passengers 2011M04";"Passengers 2011M05";"Passengers 2011M06";"Passengers 2011M07";"Passengers 2011M08";"Passengers 2011M09";"Passengers 2011M10";"Passengers 2011M11";"Passengers 2011M12";"Passengers 2012M01";"Passengers 2012M02";"Passengers 2012M03";"Passengers 2012M04";"Passengers 2012M05";"Passengers 2012M06";"Passengers 2012M07";"Passengers 2012M08";"Passengers 2012M09";"Passengers 2012M10";"Passengers 2012M11";"Passengers 2012M12";"Passengers 2013M01";"Passengers 2013M02";"Passengers 2013M03";"Passengers 2013M04";"Passengers 2013M05";"Passengers 2013M06";"Passengers 2013M07";"Passengers 2013M08";"Passengers 2013M09";"Passengers 2013M10";"Passengers 2013M11";"Passengers 2013M12";"Passengers 2014M01";"Passengers 2014M02";"Passengers 2014M03";"Passengers 2014M04";"Passengers 2014M05";"Passengers 2014M06";"Passengers 2014M07";"Passengers 2014M08";"Passengers 2014M09";"Passengers 2014M10";"Passengers 2014M11";"Passengers 2014M12";"Passengers 2015M01";"Passengers 2015M02";"Passengers 2015M03";"Passengers 2015M04";"Passengers 2015M05";"Passengers 2015M06";"Passengers 2015M07";"Passengers 2015M08";"Passengers 2015M09";"Passengers 2015M10";"Passengers 2015M11";"Passengers 2015M12";"Passengers 2016M01";"Passengers 2016M02";"Passengers 2016M03";"Passengers 2016M04";"Passengers 2016M05";"Passengers 2016M06";"Passengers 2016M07";"Passengers 2016M08";"Passengers 2016M09";"Passengers 2016M10";"Passengers 2016M11";"Passengers 2016M12";"Passengers 2017M01";"Passengers 2017M02";"Passengers 2017M03";"Passengers 2017M04";"Passengers 2017M05";"Passengers 2017M06";"Passengers 2017M07";"Passengers 2017M08";"Passengers 2017M09";"Passengers 2017M10";"Passengers 2017M11";"Passengers 2017M12";"Passengers 2018M01";"Passengers 2018M02";"Passengers 2018M03";"Passengers 2018M04";"Passengers 2018M05";"Passengers 2018M06";"Passengers 2018M07";"Passengers 2018M08";"Passengers 2018M09";"Passengers 2018M10";"Passengers 2018M11";"Passengers 2018M12";"Passengers 2019M01";"Passengers 2019M02";"Passengers 2019M03";"Passengers 2019M04";"Passengers 2019M05";"Passengers 2019M06";"Passengers 2019M07";"Passengers 2019M08";"Passengers 2019M09";"Passengers 2019M10";"Passengers 2019M11";"Passengers 2019M12";"Passengers 2020M01";"Passengers 2020M02";"Passengers 2020M03";"Passengers 2020M04";"Passengers 2020M05";"Passengers 2020M06";"Passengers 2020M07";"Passengers 2020M08";"Passengers 2020M09"
"Oslo Gardermoen";"All commercial flights";"Domestic flights";"Total passengers on board at departure and arrival";600671;634182;756543;707847;753760;827031;645424;730701;799973;844940;779824;632807;636701;670586;775616;536408;782623;834362;697355;807763;869451;887018;823682;695214;697461;723379;885348;771576;917758;916550;735850;844430;938080;947995;891908;729721;762121;809216;915675;792390;968577;912612;768566;878312;942921;980152;924246;729406;759467;789388;839787;947353;963114;961216;777539;880201;970869;997133;928112;772135;795300;793781;935997;906469;966175;1051255;808755;919581;995032;1018419;921393;773341;762221;800845;902139;900637;966271;1048756;844021;926560;998943;1012881;952348;772250;783856;872214;922527;931123;1013875;1052954;810064;958355;1062620;1023145;957180;813885;836010;862473;1028583;917209;1043122;1085797;871458;994414;1062920;1077812;1002300;835288;859163;898237;991116;1042503;1061397;1091949;923921;1051507;1095703;1107042;1031832;851932;887339;895405;1062246;912161;1025998;1101630;915249;1023016;1100385;1100646;976385;854203;881349;892384;460727;101562;186208;316435;518697;455541;446934
"Oslo Gardermoen";"All commercial flights";"International flights";"Total passengers on board at departure and arrival";601326;628496;725426;756567;796512;954487;1042920;908875;884571;844186;695190;634064;637059;660848;806826;588490;892282;1039209;1136436;1011490;961672;938000;764326;686967;696496;709184;835191;885101;968811;1096462;1235574;1056489;1038389;1012187;828431;746745;751043;806575;936921;902136;1004166;1151982;1319361;1123950;1103796;1053760;872701;785606;774425;822063;950886;949696;1059841;1250755;1456638;1224360;1159419;1096523;893740;853663;834219;843706;989323;1075004;1117346;1372463;1533848;1296804;1228752;1174924;925537;879732;834285;879322;1025418;1074676;1174599;1373519;1571375;1338944;1295610;1222970;970835;910772;864009;950708;1112234;1079351;1249269;1411994;1631448;1419939;1320966;1310543;1078191;1035965;993657;1027191;1192661;1273310;1346044;1542026;1798547;1550336;1432094;1403633;1111326;1061994;1017084;1062941;1272743;1300094;1433642;1592039;1892716;1613807;1491828;1437181;1171193;1115242;1059199;1103981;1263551;1329949;1402459;1639559;1913828;1630909;1544197;1458483;1138599;1137174;1055237;1108959;522727;19167;28561;65147;253424;262059;126721
"Oslo Gardermoen";"All commercial flights";"Domestic and international flights";"Total passengers on board at departure and arrival";1201997;1262678;1481969;1464414;1550272;1781518;1688344;1639576;1684544;1689126;1475014;1266871;1273760;1331434;1582442;1124898;1674905;1873571;1833791;1819253;1831123;1825018;1588008;1382181;1393957;1432563;1720539;1656677;1886569;2013012;1971424;1900919;1976469;1960182;1720339;1476466;1513164;1615791;1852596;1694526;1972743;2064594;2087927;2002262;2046717;2033912;1796947;1515012;1533892;1611451;1790673;1897049;2022955;2211971;2234177;2104561;2130288;2093656;1821852;1625798;1629519;1637487;1925320;1981473;2083521;2423718;2342603;2216385;2223784;2193343;1846930;1653073;1596506;1680167;1927557;1975313;2140870;2422275;2415396;2265504;2294553;2235851;1923183;1683022;1647865;1822922;2034761;2010474;2263144;2464948;2441512;2378294;2383586;2333688;2035371;1849850;1829667;1889664;2221244;2190519;2389166;2627823;2670005;2544750;2495014;2481445;2113626;1897282;1876247;1961178;2263859;2342597;2495039;2683988;2816637;2665314;2587531;2544223;2203025;1967174;1946538;1999386;2325797;2242110;2428457;2741189;2829077;2653925;2644582;2559129;2114984;1991377;1936586;2001343;983454;120729;214769;381582;772121;717600;573655
"Oslo Gardermoen";"Scheduled passenger flights";"Domestic flights";"Total passengers on board at departure and arrival";597678;632907;754628;705240;752139;826311;643081;728336;798407;842868;775133;631930;634840;669401;773022;534754;781374;832145;694812;804544;867021;885955;822510;694694;695451;722388;883219;768484;916581;913904;731839;841978;937041;945927;887161;728000;759735;807701;912137;790232;966475;910286;765244;875894;940878;974178;915345;723754;753041;780555;829069;942150;959522;958620;774476;878516;968595;991975;918106;762781;787474;788194;927989;899214;964484;1047772;806140;915403;992837;1015021;918003;770788;759383;799660;896058;897435;962512;1046315;842060;923605;997879;1010702;950382;770434;781794;871003;918432;930366;1009418;1050362;807570;954552;1060989;1022010;955320;811467;832959;861273;1027264;916456;1040717;1082954;867591;991602;1060989;1076749;1001293;833910;858095;897422;990468;1041426;1059746;1088318;921713;1050679;1094153;1106329;1030914;850370;885118;894361;1060730;911592;1025362;1097612;913144;1022647;1099538;1099200;975767;850778;877652;891856;459699;101425;184562;313523;518307;453980;446693
"Oslo Gardermoen";"Scheduled passenger flights";"International flights";"Total passengers on board at departure and arrival";537130;563635;656888;693505;709210;822972;888104;776104;762318;775654;640822;583931;582112;609097;744693;544859;806182;911681;963128;859428;832560;855778;708853;627381;629198;650821;767150;815264;871117;942010;1038010;897398;900204;923060;759819;685308;682368;732284;839658;837043;897877;972606;1102417;949585;944473;955991;798087;714321;692913;736645;855082;890382;961355;1074041;1232272;1050899;1019275;1012252;832137;787060;763789;779381;912608;1016457;1029782;1210966;1332798;1152678;1118020;1104279;874380;829466;781572;831198;969548;1027874;1096569;1242883;1407562;1209427;1184424;1154830;920230;861227;808607;899040;1057832;1042098;1178818;1293772;1461512;1297864;1214885;1240278;1034402;987884;940937;977207;1135727;1223755;1286070;1422193;1630173;1423773;1326179;1343955;1072424;1021318;972534;1019250;1224630;1260255;1355992;1460362;1706894;1478540;1382495;1369221;1132363;1078081;1021196;1064613;1217697;1287015;1333941;1516953;1738069;1504379;1437584;1396777;1097641;1099973;1014894;1066622;499364;16459;26569;63688;250526;257028;125845
"Oslo Gardermoen";"Scheduled passenger flights";"Domestic and international flights";"Total passengers on board at departure and arrival";1134808;1196542;1411516;1398745;1461349;1649283;1531185;1504440;1560725;1618522;1415955;1215861;1216952;1278498;1517715;1079613;1587556;1743826;1657940;1663972;1699581;1741733;1531363;1322075;1324649;1373209;1650369;1583748;1787698;1855914;1769849;1739376;1837245;1868987;1646980;1413308;1442103;1539985;1751795;1627275;1864352;1882892;1867661;1825479;1885351;1930169;1713432;1438075;1445954;1517200;1684151;1832532;1920877;2032661;2006748;1929415;1987870;2004227;1750243;1549841;1551263;1567575;1840597;1915671;1994266;2258738;2138938;2068081;2110857;2119300;1792383;1600254;1540955;1630858;1865606;1925309;2059081;2289198;2249622;2133032;2182303;2165532;1870612;1631661;1590401;1770043;1976264;1972464;2188236;2344134;2269082;2252416;2275874;2262288;1989722;1799351;1773896;1838480;2162991;2140211;2326787;2505147;2497764;2415375;2387168;2420704;2073717;1855228;1830629;1916672;2215098;2301681;2415738;2548680;2628607;2529219;2476648;2475550;2163277;1928451;1906314;1958974;2278427;2198607;2359303;2614565;2651213;2527026;2537122;2495977;2073408;1950751;1892546;1958478;959063;117884;211131;377211;768833;711008;572538
"Oslo Gardermoen";"Non-scheduled passenger flights";"Domestic flights";"Total passengers on board at departure and arrival";2993;1275;1880;2461;1610;720;2338;2287;1512;2072;4650;873;739;1169;2594;1654;1247;2217;2543;3216;2430;1063;1169;517;2010;991;2129;3089;1159;2642;4011;2452;1039;2066;4747;1715;2386;1515;3538;2158;2102;2326;3311;2409;2043;5974;8899;5646;6423;8833;10712;5199;3590;2555;3063;1685;2270;5153;10001;9354;7826;5587;8008;7255;1691;3483;2615;4168;2192;3305;3390;2553;2834;1185;6079;3198;3756;2435;1953;2955;1064;2176;1966;1816;2062;1209;4095;757;4455;2592;2494;3777;1631;1135;1860;2418;3051;1200;1319;753;2405;2839;3866;2810;1762;1063;871;1378;1068;815;648;1077;1650;3631;2208;828;1547;713;918;1562;2221;1044;1516;569;636;4009;2103;369;692;786;618;3421;3696;528;1018;135;1637;2912;374;1561;241
"Oslo Gardermoen";"Non-scheduled passenger flights";"International flights";"Total passengers on board at departure and arrival";64129;64861;68530;62858;86931;131512;154705;132771;122165;68532;54368;50133;54947;51751;62119;43120;86100;127528;173308;151988;129112;82222;55473;59389;67298;58259;68041;69837;97694;154452;197564;159091;138185;89127;68612;61437;68675;74291;97258;65092;106289;179251;216944;174365;159323;97769;74407;71285;81501;85418;95804;59313;98484;176714;224366;173450;140142;84271;61594;66603;70417;64325;76715;58547;87564;161497;201007;144123;110732;70645;51086;50266;52335;47857;55682;46251;78029;130476;163813;129425;109384;67566;50601;49541;55397;51655;54402;37249;70451;118010;169936;122075;106081;70265;43789;48081;52714;49984;56934;49555;59974;119828;168179;126542;105915;59672;38892;40676;44550;43691;48109;39839;77650;131677;185814;135267;109333;67960;38826;37160;38003;39367;45839;41931;68507;122580;175747;126525;106326;61704;40745;37191;40330;42319;23355;2707;1992;1457;2894;5018;866
"Oslo Gardermoen";"Non-scheduled passenger flights";"Domestic and international flights";"Total passengers on board at departure and arrival";67122;66136;70410;65319;88541;132232;157043;135058;123677;70604;59018;51006;55686;52920;64713;44774;87347;129745;175851;155204;131542;83285;56642;59906;69308;59250;70170;72926;98853;157094;201575;161543;139224;91193;73359;63152;71061;75806;100796;67250;108391;181577;220255;176774;161366;103743;83306;76931;87924;94251;106516;64512;102074;179269;227429;175135;142412;89424;71595;75957;78243;69912;84723;65802;89255;164980;203622;148291;112924;73950;54476;52819;55169;49042;61761;49449;81785;132911;165766;132380;110448;69742;52567;51357;57459;52864;58497;38006;74906;120602;172430;125852;107712;71400;45649;50499;55765;51184;58253;50308;62379;122667;172045;129352;107677;60735;39763;42054;45618;44506;48757;40916;79300;135308;188022;136095;110880;68673;39744;38722;40224;40411;47355;42500;69143;126589;177850;126894;107018;62490;41363;40612;44026;42847;24373;2842;3629;4369;3268;6579;1107
"Oslo Gardermoen";"Freight";"Domestic flights";"Total passengers on board at departure and arrival";0;0;35;146;11;0;5;78;53;0;41;0;1122;14;0;0;2;0;0;3;0;0;3;3;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0
